ID,Grupo,Estado o país,Receta,Tiempo,Porciones,Dificultad,Ingredientes principales,Foto
"R001","México","Aguascalientes","Pollo estilo San Marcos","45 min","4 porciones","Fácil","tortillas | jitomate | cebolla | ajo | limón | cilantro | chile serrano | queso fresco | frijoles | pollo o cerdo","https://images.pexels.com/photos/1640777/pexels-photo-1640777.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R002","México","Aguascalientes","Enchiladas rojas hidrocálidas","45 min","4 porciones","Fácil","tortillas | jitomate | cebolla | ajo | limón | cilantro | chile serrano | queso fresco | frijoles | pollo o cerdo","https://images.pexels.com/photos/461198/pexels-photo-461198.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R003","México","Baja California","Tacos de pescado estilo Ensenada","45 min","4 porciones","Fácil","tortillas | jitomate | cebolla | ajo | limón | cilantro | chile serrano | queso fresco | frijoles | pollo o cerdo","https://images.pexels.com/photos/1279330/pexels-photo-1279330.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R004","México","Baja California","Tostadas de ceviche fácil","45 min","4 porciones","Fácil","tortillas | jitomate | cebolla | ajo | limón | cilantro | chile serrano | queso fresco | frijoles | pollo o cerdo","https://images.pexels.com/photos/376464/pexels-photo-376464.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R005","México","Baja California Sur","Almejas chocolatas gratinadas","45 min","4 porciones","Fácil","tortillas | jitomate | cebolla | ajo | limón | cilantro | chile serrano | queso fresco | frijoles | pollo o cerdo","https://images.pexels.com/photos/1092730/pexels-photo-1092730.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R006","México","Baja California Sur","Machaca con huevo norteña","45 min","4 porciones","Fácil","tortillas | jitomate | cebolla | ajo | limón | cilantro | chile serrano | queso fresco | frijoles | pollo o cerdo","https://images.pexels.com/photos/70497/pexels-photo-70497.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R007","México","Campeche","Panuchos campechanos","45 min","4 porciones","Fácil","tortillas | jitomate | cebolla | ajo | limón | cilantro | chile serrano | queso fresco | frijoles | pollo o cerdo","https://images.pexels.com/photos/958545/pexels-photo-958545.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R008","México","Campeche","Pescado en escabeche sencillo","45 min","4 porciones","Fácil","tortillas | jitomate | cebolla | ajo | limón | cilantro | chile serrano | queso fresco | frijoles | pollo o cerdo","https://images.pexels.com/photos/1437267/pexels-photo-1437267.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R009","México","Chiapas","Tamales de chipilín fáciles","45 min","4 porciones","Fácil","tortillas | jitomate | cebolla | ajo | limón | cilantro | chile serrano | queso fresco | frijoles | pollo o cerdo","https://images.pexels.com/photos/262978/pexels-photo-262978.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R010","México","Chiapas","Sopa de pan estilo Chiapas","45 min","4 porciones","Fácil","tortillas | jitomate | cebolla | ajo | limón | cilantro | chile serrano | queso fresco | frijoles | pollo o cerdo","https://images.pexels.com/photos/1640774/pexels-photo-1640774.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R011","México","Chihuahua","Burritos de carne deshebrada","45 min","4 porciones","Fácil","tortillas | jitomate | cebolla | ajo | limón | cilantro | chile serrano | queso fresco | frijoles | pollo o cerdo","https://images.pexels.com/photos/2097090/pexels-photo-2097090.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R012","México","Chihuahua","Caldo de queso norteño","45 min","4 porciones","Fácil","tortillas | jitomate | cebolla | ajo | limón | cilantro | chile serrano | queso fresco | frijoles | pollo o cerdo","https://images.pexels.com/photos/4551971/pexels-photo-4551971.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R013","México","CDMX","Tacos al pastor caseros","45 min","4 porciones","Fácil","tortillas | jitomate | cebolla | ajo | limón | cilantro | chile serrano | queso fresco | frijoles | pollo o cerdo","https://images.pexels.com/photos/1640777/pexels-photo-1640777.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R014","México","CDMX","Tortas de chilaquiles","45 min","4 porciones","Fácil","tortillas | jitomate | cebolla | ajo | limón | cilantro | chile serrano | queso fresco | frijoles | pollo o cerdo","https://images.pexels.com/photos/461198/pexels-photo-461198.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R015","México","Coahuila","Discada norteña sencilla","45 min","4 porciones","Fácil","tortillas | jitomate | cebolla | ajo | limón | cilantro | chile serrano | queso fresco | frijoles | pollo o cerdo","https://images.pexels.com/photos/1279330/pexels-photo-1279330.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R016","México","Coahuila","Carne asada con papas","45 min","4 porciones","Fácil","tortillas | jitomate | cebolla | ajo | limón | cilantro | chile serrano | queso fresco | frijoles | pollo o cerdo","https://images.pexels.com/photos/376464/pexels-photo-376464.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R017","México","Colima","Sopitos colimenses","45 min","4 porciones","Fácil","tortillas | jitomate | cebolla | ajo | limón | cilantro | chile serrano | queso fresco | frijoles | pollo o cerdo","https://images.pexels.com/photos/1092730/pexels-photo-1092730.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R018","México","Colima","Tostadas de lomo","45 min","4 porciones","Fácil","tortillas | jitomate | cebolla | ajo | limón | cilantro | chile serrano | queso fresco | frijoles | pollo o cerdo","https://images.pexels.com/photos/70497/pexels-photo-70497.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R019","México","Durango","Caldillo durangueño fácil","45 min","4 porciones","Fácil","tortillas | jitomate | cebolla | ajo | limón | cilantro | chile serrano | queso fresco | frijoles | pollo o cerdo","https://images.pexels.com/photos/958545/pexels-photo-958545.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R020","México","Durango","Gorditas de guisado","45 min","4 porciones","Fácil","tortillas | jitomate | cebolla | ajo | limón | cilantro | chile serrano | queso fresco | frijoles | pollo o cerdo","https://images.pexels.com/photos/1437267/pexels-photo-1437267.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R021","México","Estado de México","Tacos de cecina con nopales","45 min","4 porciones","Fácil","tortillas | jitomate | cebolla | ajo | limón | cilantro | chile serrano | queso fresco | frijoles | pollo o cerdo","https://images.pexels.com/photos/262978/pexels-photo-262978.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R022","México","Estado de México","Obispo estilo casero","45 min","4 porciones","Fácil","tortillas | jitomate | cebolla | ajo | limón | cilantro | chile serrano | queso fresco | frijoles | pollo o cerdo","https://images.pexels.com/photos/1640774/pexels-photo-1640774.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R023","México","Guanajuato","Enchiladas mineras","45 min","4 porciones","Fácil","tortillas | jitomate | cebolla | ajo | limón | cilantro | chile serrano | queso fresco | frijoles | pollo o cerdo","https://images.pexels.com/photos/2097090/pexels-photo-2097090.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R024","México","Guanajuato","Guacamayas leonesas","45 min","4 porciones","Fácil","tortillas | jitomate | cebolla | ajo | limón | cilantro | chile serrano | queso fresco | frijoles | pollo o cerdo","https://images.pexels.com/photos/4551971/pexels-photo-4551971.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R025","México","Guerrero","Pozole verde guerrerense","45 min","4 porciones","Fácil","tortillas | jitomate | cebolla | ajo | limón | cilantro | chile serrano | queso fresco | frijoles | pollo o cerdo","https://images.pexels.com/photos/1640777/pexels-photo-1640777.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R026","México","Guerrero","Pescado a la talla casero","45 min","4 porciones","Fácil","tortillas | jitomate | cebolla | ajo | limón | cilantro | chile serrano | queso fresco | frijoles | pollo o cerdo","https://images.pexels.com/photos/461198/pexels-photo-461198.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R027","México","Hidalgo","Pastes de papa con carne","45 min","4 porciones","Fácil","tortillas | jitomate | cebolla | ajo | limón | cilantro | chile serrano | queso fresco | frijoles | pollo o cerdo","https://images.pexels.com/photos/1279330/pexels-photo-1279330.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R028","México","Hidalgo","Barbacoa casera en olla","45 min","4 porciones","Intermedia","tortillas | jitomate | cebolla | ajo | limón | cilantro | chile serrano | queso fresco | frijoles | pollo o cerdo","https://images.pexels.com/photos/376464/pexels-photo-376464.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R029","México","Jalisco","Birria rápida de res","45 min","4 porciones","Fácil","tortillas | jitomate | cebolla | ajo | limón | cilantro | chile serrano | queso fresco | frijoles | pollo o cerdo","https://images.pexels.com/photos/1092730/pexels-photo-1092730.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R030","México","Jalisco","Tortas ahogadas caseras","45 min","4 porciones","Fácil","tortillas | jitomate | cebolla | ajo | limón | cilantro | chile serrano | queso fresco | frijoles | pollo o cerdo","https://images.pexels.com/photos/70497/pexels-photo-70497.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R031","México","Michoacán","Carnitas en olla","45 min","4 porciones","Fácil","tortillas | jitomate | cebolla | ajo | limón | cilantro | chile serrano | queso fresco | frijoles | pollo o cerdo","https://images.pexels.com/photos/958545/pexels-photo-958545.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R032","México","Michoacán","Corundas con salsa y crema","45 min","4 porciones","Fácil","tortillas | jitomate | cebolla | ajo | limón | cilantro | chile serrano | queso fresco | frijoles | pollo o cerdo","https://images.pexels.com/photos/1437267/pexels-photo-1437267.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R033","México","Morelos","Cecina con crema y queso","45 min","4 porciones","Fácil","tortillas | jitomate | cebolla | ajo | limón | cilantro | chile serrano | queso fresco | frijoles | pollo o cerdo","https://images.pexels.com/photos/262978/pexels-photo-262978.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R034","México","Morelos","Tacos acorazados sencillos","45 min","4 porciones","Fácil","tortillas | jitomate | cebolla | ajo | limón | cilantro | chile serrano | queso fresco | frijoles | pollo o cerdo","https://images.pexels.com/photos/1640774/pexels-photo-1640774.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R035","México","Nayarit","Pescado zarandeado casero","45 min","4 porciones","Fácil","tortillas | jitomate | cebolla | ajo | limón | cilantro | chile serrano | queso fresco | frijoles | pollo o cerdo","https://images.pexels.com/photos/2097090/pexels-photo-2097090.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R036","México","Nayarit","Tostadas de camarón seco","45 min","4 porciones","Fácil","tortillas | jitomate | cebolla | ajo | limón | cilantro | chile serrano | queso fresco | frijoles | pollo o cerdo","https://images.pexels.com/photos/4551971/pexels-photo-4551971.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R037","México","Nuevo León","Carne asada con frijoles","45 min","4 porciones","Fácil","tortillas | jitomate | cebolla | ajo | limón | cilantro | chile serrano | queso fresco | frijoles | pollo o cerdo","https://images.pexels.com/photos/1640777/pexels-photo-1640777.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R038","México","Nuevo León","Machacado con huevo","45 min","4 porciones","Fácil","tortillas | jitomate | cebolla | ajo | limón | cilantro | chile serrano | queso fresco | frijoles | pollo o cerdo","https://images.pexels.com/photos/461198/pexels-photo-461198.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R039","México","Oaxaca","Tlayuda con quesillo","45 min","4 porciones","Fácil","tortillas | jitomate | cebolla | ajo | limón | cilantro | chile serrano | queso fresco | frijoles | pollo o cerdo","https://images.pexels.com/photos/1279330/pexels-photo-1279330.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R040","México","Oaxaca","Mole negro simplificado","45 min","4 porciones","Intermedia","tortillas | jitomate | cebolla | ajo | limón | cilantro | chile serrano | queso fresco | frijoles | pollo o cerdo","https://images.pexels.com/photos/376464/pexels-photo-376464.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R041","México","Puebla","Chile en nogada casero","45 min","4 porciones","Intermedia","tortillas | jitomate | cebolla | ajo | limón | cilantro | chile serrano | queso fresco | frijoles | pollo o cerdo","https://images.pexels.com/photos/1092730/pexels-photo-1092730.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R042","México","Puebla","Mole poblano práctico","45 min","4 porciones","Intermedia","tortillas | jitomate | cebolla | ajo | limón | cilantro | chile serrano | queso fresco | frijoles | pollo o cerdo","https://images.pexels.com/photos/70497/pexels-photo-70497.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R043","México","Querétaro","Enchiladas queretanas","45 min","4 porciones","Fácil","tortillas | jitomate | cebolla | ajo | limón | cilantro | chile serrano | queso fresco | frijoles | pollo o cerdo","https://images.pexels.com/photos/958545/pexels-photo-958545.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R044","México","Querétaro","Gorditas de migaja fáciles","45 min","4 porciones","Fácil","tortillas | jitomate | cebolla | ajo | limón | cilantro | chile serrano | queso fresco | frijoles | pollo o cerdo","https://images.pexels.com/photos/1437267/pexels-photo-1437267.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R045","México","Quintana Roo","Tikin xic casero","45 min","4 porciones","Fácil","tortillas | jitomate | cebolla | ajo | limón | cilantro | chile serrano | queso fresco | frijoles | pollo o cerdo","https://images.pexels.com/photos/262978/pexels-photo-262978.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R046","México","Quintana Roo","Tacos de pescado con col morada","45 min","4 porciones","Fácil","tortillas | jitomate | cebolla | ajo | limón | cilantro | chile serrano | queso fresco | frijoles | pollo o cerdo","https://images.pexels.com/photos/1640774/pexels-photo-1640774.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R047","México","San Luis Potosí","Enchiladas potosinas","45 min","4 porciones","Fácil","tortillas | jitomate | cebolla | ajo | limón | cilantro | chile serrano | queso fresco | frijoles | pollo o cerdo","https://images.pexels.com/photos/2097090/pexels-photo-2097090.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R048","México","San Luis Potosí","Zacahuil versión familiar","45 min","4 porciones","Intermedia","tortillas | jitomate | cebolla | ajo | limón | cilantro | chile serrano | queso fresco | frijoles | pollo o cerdo","https://images.pexels.com/photos/4551971/pexels-photo-4551971.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R049","México","Sinaloa","Aguachile suave","45 min","4 porciones","Fácil","tortillas | jitomate | cebolla | ajo | limón | cilantro | chile serrano | queso fresco | frijoles | pollo o cerdo","https://images.pexels.com/photos/1640777/pexels-photo-1640777.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R050","México","Sinaloa","Chilorio casero","45 min","4 porciones","Fácil","tortillas | jitomate | cebolla | ajo | limón | cilantro | chile serrano | queso fresco | frijoles | pollo o cerdo","https://images.pexels.com/photos/461198/pexels-photo-461198.jpeg?auto=compress&cs=tinysrgb&w=1200"
